id_segmento,id_circuito,nodo_inicio,nodo_fin,longitud_m,tipo_conductor,capacidad_amp
109745570,"79 507",66818242,65818242,1.2,"101",1
109400737,"79 507",68400139,66818242,55.444,"101",1
109745589,"79 507",65818261,66818266,60.042,"101",1
109745599,"79 507",651321293,66818269,49.373,"101",1
109745613,"79 507",66818282,65818282,1.2,"101",1
109745612,"79 507",65818271,66818282,42.777,"101",1
109749290,"79 507",66827189,65818530,55.472,"101",1
109745731,"79 507",65404939,65818545,40.257,"101",1
109745732,"79 507",65818545,66818545,1.2,"101",1
109400750,"79 507",66400153,65820574,67.938,"101",1
109746721,"79 507",66820574,65820575,42.701,"101",1
105721764,"79 507",65821005,69821005,1.2,"101",1
109747143,"79 507",661229622,65822275,640.786,"101",1
116733405,"79 507",66402875,97402875,1.2,"101",1
116400791,"79 507",66402876,97402876,1.2,"101",1
105721953,"79 507",65822275,66822275,1.2,"101",1
109749288,"79 507",65827189,65827190,105.326,"101",1
109812855,"79 507",66400778,65829958,72.994,"101",1
109752410,"79 507",65400815,65833679,43.347,"101",1
105724156,"79 507",65833679,66833679,1.2,"101",1
109796329,"79 507",651132304,67837024,70.08,"101",1
105746459,"79 507",66841107,65841107,1.2,"101",1
109796103,"79 507",66841109,65841107,53.272,"101",1
109757882,"79 507",65842719,66842719,1.2,"101",1
109791882,"79 507",651065035,65843720,43.527,"101",1
109771654,"79 507",66400815,65866385,85.331,"101",1
116400220,"79 507",661217883,971217883,1.2,"101",1
116400342,"79 507",66401244,98401244,1.2,"101",1
116724740,"79 507",661256290,981256290,1.2,"101",1
116735666,"79 507",661294585,971294585,1.2,"101",1
116401263,"79 507",661300819,971300819,1.2,"101",1
116732964,"79 507",66400516,97400516,1.2,"101",1
116400222,"79 507",66400767,97400767,1.2,"101",1
116400496,"79 507",66401172,97401172,1.2,"101",1
116725532,"79 507",67401210,97401210,1.2,"101",1
116400341,"79 507",67401222,97401222,1.2,"101",1
116713462,"79 507",66802844,97802844,1.2,"101",1
116718066,"79 507",66849842,97849842,1.2,"101",1
109402462,"79 507",66400774,651073297,188.765,"101",1
109796311,"79 507",651132291,661132291,1.2,"101",1
109796313,"79 507",661132291,651132292,84.981,"101",1
109796317,"79 507",651132295,651132296,38.164,"101",1
109796322,"79 507",661132298,651132299,35.973,"101",1
109796323,"79 507",651132299,651132301,54.569,"101",1
109796324,"79 507",651132301,661132301,1.2,"101",1
109806223,"79 507",661219693,651132304,63.055,"101",1
105741213,"79 507",651146631,661146631,1.2,"101",1
109797692,"79 507",661146635,651146632,91.977,"101",1
109797694,"79 507",661146632,651146634,79.176,"101",1
109797695,"79 507",651146634,661146634,1.2,"101",1
109400770,"79 507",66818548,651196164,174.581,"101",1
109748678,"79 507",65825761,651199916,299.048,"101",1
109804763,"79 507",651210330,661210330,1.2,"101",1
109804772,"79 507",661210335,651210336,182.435,"101",1
116715247,"79 507",68737486,101737486,1.2,"101",1
116716687,"79 507",661132297,971132297,1.2,"101",1
116723810,"79 507",661146631,971146631,1.2,"101",1
116725534,"79 507",661208271,971208271,1.2,"101",1
109804773,"79 507",661210336,651210337,96.756,"101",1
105746810,"79 507",721213508,671213508,1.2,"101",1
109806104,"79 507",661219334,721213508,4.823,"101",1
109805798,"79 507",651217884,651217883,105.309,"101",1
109817264,"79 507",68400514,651256202,47.381,"101",1
109817266,"79 507",661256202,651256205,104.727,"101",1
109817269,"79 507",651256205,661256205,1.2,"101",1
109817272,"79 507",651256268,661256268,1.2,"101",1
109817275,"79 507",671256268,651256269,63.036,"101",1
105754456,"79 507",651256290,661256290,1.2,"101",1
109401299,"79 507",65400769,651264311,156.237,"101",1
105755548,"79 507",651264311,661264311,1.2,"101",1
109400730,"79 507",68400132,661264540,75.584,"101",1
105755581,"79 507",661264540,701264540,1.2,"101",1
109820628,"79 507",66400816,651276164,86.598,"101",1
109401620,"79 507",65401177,651282857,162.274,"101",1
109823208,"79 507",671210336,651294579,96.853,"101",1
109823215,"79 507",651294580,661294580,1.2,"101",1
109823210,"79 507",661294580,651294581,104.982,"101",1
105761230,"79 507",651294585,661294585,1.2,"101",1
109823838,"79 507",67400756,651297874,335.222,"101",1
109823836,"79 507",651297874,661297874,1.2,"101",1
109823837,"79 507",651297888,661297888,1.2,"101",1
109400775,"79 507",66400526,651300819,161.799,"101",1
109706611,"79 507",67400003,69400005,38.053,"101",1
109406271,"79 507",65400515,66400515,1.2,"101",1
105712294,"79 507",65400515,67400515,1.2,"101",1
109400764,"79 507",67400515,65400516,231.354,"101",1
109802585,"79 507",651196164,65400522,200.302,"101",1
109400771,"79 507",67400522,65400523,145.339,"101",1
109400778,"79 507",66400528,65400529,72.716,"101",1
109400781,"79 507",65400531,65400532,96.22,"101",1
109400782,"79 507",65400532,65400533,266.494,"101",1
109400783,"79 507",65400533,65400534,164.023,"101",1
109401281,"79 507",66400751,65400752,395.077,"101",1
109405484,"79 507",65400755,66400755,1.2,"101",1
109405486,"79 507",65400756,66400756,1.2,"101",1
109746725,"79 507",65820575,66400154,63.009,"101",1
109400755,"79 507",66766274,65400507,252.744,"101",1
109405128,"79 507",65400507,69400507,1.2,"101",1
109400758,"79 507",65400509,65400510,202.178,"101",1
109400760,"79 507",66400511,65400512,135.665,"101",1
109400766,"79 507",66400515,65400517,218.443,"101",1
109400772,"79 507",65400523,65400524,105.298,"101",1
109406274,"79 507",65400526,66400526,1.2,"101",1
109400777,"79 507",66400522,65400528,593.104,"101",1
105738429,"79 507",65400528,66400528,1.2,"101",1
109400779,"79 507",65400529,65400530,105.872,"101",1
109400780,"79 507",65400528,65400531,205.681,"101",1
109401284,"79 507",661297888,65400755,463.728,"101",1
109784476,"79 507",65962760,65400758,8.215,"101",1
105400332,"79 507",65400759,66400759,1.2,"101",1
109401294,"79 507",67400810,65400765,264.78,"101",1
109401295,"79 507",65400765,65400766,43.278,"101",1
109405233,"79 507",65400768,66400768,1.2,"101",1
109401298,"79 507",66400768,65400769,550.371,"101",1
105400338,"79 507",65400776,66400776,1.2,"101",1
109401307,"79 507",651239738,65400778,176.233,"101",1
109812893,"79 507",67829958,65400780,39.876,"101",1
105751582,"79 507",65400780,66400780,1.2,"101",1
109401318,"79 507",65400785,65400789,348.772,"101",1
